Name,Position,Team,Tier,TAD
Josh Allen,QB,BUF,1,
Jalen Hurts,QB,PHI,1,
Patrick Mahomes,QB,KC,1,a
Lamar Jackson,QB,BAL,1,
Anthony Richardson,QB,IND,2,
CJ Stroud,QB,HOU,2,a
Kyler Murray,QB,ARI,2,t
Joe Burrow,QB,CIN,2,
Dak Prescott,QB,DAL,3,
Jordan Love,QB,GB,3,t
Brock Purdy,QB,SF,4,a
Jayden Daniels,QB,WAS,4,t
Caleb Williams,QB,CHI,4,
Tua Tagovailoa,QB,MIA,4,a
Jared Goff,QB,DET,4,a
Trevor Lawrence,QB,JAC,5,
Kirk Cousins,QB,ATL,5,a
Justin Herbert,QB,LAC,5,
Matthew Stafford,QB,LAR,6,
Aaron Rodgers,QB,NYJ,6,
Deshaun Watson,QB,CLE,6,d
Geno Smith,QB,SEA,6,d
Baker Mayfield,QB,TB,7,
Will Levis,QB,TEN,7,d
Daniel Jones,QB,NYG,7,
Derek Carr,QB,NO,8,a
Bryce Young,QB,CAR,8,
Sam Darnold,QB,MIN,8,
Bo Nix,QB,DEN,9,
Russell Wilson,QB,PIT,9,
Justin Fields,QB,PIT,10,d
Drake Maye,QB,NE,10,d
Gardner Minshew,QB,LV,10,
Aidan O'Connell,QB,LV,10,
Jacoby Brissett,QB,NE,10,
Michael Penix,QB,ATL,10,
Sam Howell,QB,SEA,10,
Jarrett Stidham,QB,DEN,10,
CeeDee Lamb,WR,DAL,1,
Tyreek Hill,WR,MIA,1,
Ja'Marr Chase,WR,CIN,1,
Amon-Ra St Brown,WR,DET,1,t
Justin Jefferson,WR,MIN,2,
AJ Brown,WR,PHI,2,
Garrett Wilson,WR,NYJ,2,t
Puka Nacua,WR,LAR,3,a
Marvin Harrison,WR,ARI,3,
Davante Adams,WR,LV,3,a
Drake London,WR,ATL,3,
Chris Olave,WR,NO,3,
Jaylen Waddle,WR,MIA,4,t
Michael Pittman,WR,IND,4,
Cooper Kupp,WR,LAR,4,t
Mike Evans,WR,TB,4,
Nico Collins,WR,HOU,4,
Brandon Aiyuk,WR,SF,5,a
Deebo Samuel,WR,SF,5,
DJ Moore,WR,CHI,5,
DeVonta Smith,WR,PHI,5,t
DK Metcalf,WR,SEA,5,
Malik Nabers,WR,NYG,5,t
Amari Cooper,WR,CLE,5,
Stefon Diggs,WR,HOU,6,
Zay Flowers,WR,BAL,6,
Tee Higgins,WR,CIN,6,
Terry McLaurin,WR,WAS,6,
Rashee Rice,WR,KC,6,t
George Pickens,WR,PIT,6,
Christian Kirk,WR,JAC,6,
